i,start,fold,time
74,2100000,2.0,0.8849985599517822
75,2125000,2.0,0.8785980939865112
76,2150000,2.0,0.8721976280212402
77,2175000,2.0,0.8658971786499023
78,2200000,2.0,0.8594967126846313
79,2225000,2.0,0.8530962467193604
80,2250000,2.0,0.8466957807540894
81,2275000,2.0,0.8392997980117798
82,2300000,2.0,0.8328993320465088
83,2325000,2.0,0.8264988660812378
84,2350000,2.0,0.8200984001159668
85,2375000,2.0,0.8136979341506958
86,2400000,2.0,0.8072974681854248
87,2425000,2.0,0.8009970188140869
88,2450000,2.0,0.7945965528488159
89,2475000,2.0,0.7881960868835449
90,2500000,2.0,0.7817956209182739
91,2525000,2.0,0.7743996381759644
92,2550000,2.0,0.7679991722106934
93,2575000,2.0,0.7615987062454224
94,2600000,2.0,0.7551982402801514
95,2625000,2.0,0.7487977743148804
96,2650000,2.0,0.7423973083496094
97,2675000,2.0,0.7359968423843384
98,2700000,2.0,0.7296963930130005
99,2725000,2.0,0.7232959270477295
100,2750000,2.0,0.7157999277114868
101,2775000,2.0,0.7093994617462158
102,2800000,2.0,0.7030990123748779
103,2825000,2.0,0.6966985464096069
104,2850000,2.0,0.6902980804443359
105,3000000,2.0,0.6508997678756714
106,3025000,2.0,0.6444993019104004
107,3050000,2.0,0.6381988525390625
108,3075000,2.0,0.6317983865737915
109,3100000,2.0,0.6253979206085205
110,3125000,2.0,0.6189974546432495
111,3150000,2.0,0.6125969886779785
112,3175000,2.0,0.6061965227127075
113,3200000,2.0,0.5998960733413696
114,3225000,2.0,0.5934956073760986
115,3250000,2.0,0.585999608039856
116,3275000,2.0,0.579599142074585
117,3300000,2.0,0.5732986927032471
118,3325000,2.0,0.5668982267379761
119,3350000,2.0,0.5604977607727051
120,3375000,2.0,0.5540972948074341
121,3400000,2.0,0.5476968288421631
122,3425000,2.0,0.5412963628768921
123,3450000,2.0,0.5349959135055542
124,3475000,2.0,0.5274999141693115
125,3500000,2.0,0.5210994482040405
126,3525000,2.0,0.5146989822387695
127,3550000,2.0,0.5083985328674316
128,3575000,2.0,0.5019980669021606
129,3600000,2.0,0.49559760093688965
130,3625000,2.0,0.48919713497161865
131,3650000,2.0,0.48279666900634766
132,3675000,2.0,0.47639620304107666
133,3700000,2.0,0.47009575366973877
134,3725000,2.0,0.4625997841358185
135,3750000,2.0,0.4561993181705475
136,3775000,2.0,0.4497988522052765
137,3800000,2.0,0.4434983730316162
138,3825000,2.0,0.4370979070663452
139,3850000,2.0,0.4306974411010742
140,4000000,1.0,0.39129915833473206
141,4025000,1.0,0.38489869236946106
142,4050000,1.0,0.37849822640419006
143,4075000,1.0,0.3721977472305298
144,4100000,1.0,0.3657972812652588
145,4125000,1.0,0.3593968152999878
146,4150000,1.0,0.3529963493347168
147,4175000,1.0,0.3465958833694458
148,4200000,1.0,0.3391999304294586
149,4225000,1.0,0.3327994644641876
150,4250000,1.0,0.3263989984989166
151,4275000,1.0,0.31999853253364563
152,4300000,1.0,0.31359806656837463
153,4325000,1.0,0.30729758739471436
154,4350000,1.0,0.30089712142944336
155,4375000,1.0,0.29449665546417236
156,4400000,1.0,0.28809618949890137
157,4425000,1.0,0.28169572353363037
158,4450000,1.0,0.2742997705936432
159,4475000,1.0,0.2678993046283722
160,4500000,1.0,0.2614988386631012
161,4525000,1.0,0.2550983726978302
162,4550000,1.0,0.2486979067325592
163,4575000,1.0,0.24239744246006012
164,4600000,1.0,0.23599697649478912
165,4625000,1.0,0.22959651052951813
166,4650000,1.0,0.22319604456424713
167,4675000,1.0,0.21679557859897614
168,4700000,1.0,0.20939961075782776
169,4725000,1.0,0.20299914479255676
170,4750000,1.0,0.19659867882728577
171,4775000,1.0,0.19019821286201477
172,4800000,1.0,0.18379774689674377
173,4825000,1.0,0.1774972826242447
174,4850000,1.0,0.1710968166589737
175,5000000,4.0,0.13169851899147034
176,5025000,4.0,0.12529805302619934
177,5050000,4.0,0.11889758706092834
178,5075000,4.0,0.11249712109565735
179,5100000,4.0,0.10619665682315826
180,5125000,4.0,0.09979619085788727
181,5150000,4.0,0.09339572489261627
182,5175000,4.0,0.08589976280927658
183,5200000,4.0,0.0795992985367775
184,5225000,4.0,0.0731988325715065
185,5250000,4.0,0.0667983666062355
186,5275000,4.0,0.06039789691567421
187,5300000,4.0,0.053997430950403214
188,5325000,4.0,0.04759696498513222
189,5350000,4.0,0.041296496987342834
190,5375000,4.0,0.03489603102207184
191,5400000,4.0,0.028495565056800842
192,5425000,4.0,0.0209996048361063
193,5450000,4.0,0.014699138700962067
194,5475000,4.0,0.008298671804368496
195,5500000,4.0,0.0018982056062668562
196,5656573,4.0,11.502496719360352
197,5681573,4.0,11.49609661102295
198,5706573,4.0,11.489696502685547
199,5731573,4.0,11.483295440673828
200,5756573,4.0,11.475899696350098
201,5781573,4.0,11.469499588012695
202,5806573,4.0,11.463098526000977
203,5831573,4.0,11.456698417663574
204,5856573,4.0,11.450298309326172
205,5881573,4.0,11.443897247314453
206,5906573,4.0,11.437597274780273
207,5931573,4.0,11.431196212768555
208,5956573,4.0,11.424796104431152
209,5981573,4.0,11.41839599609375
210,6006573,4.0,11.410999298095703
211,6031573,4.0,11.4045991897583
212,6056573,4.0,11.398199081420898
213,6081573,4.0,11.39179801940918
214,6106573,4.0,11.385397911071777
215,6131573,4.0,11.378997802734375
216,6156573,4.0,11.372696876525879
217,6181573,4.0,11.366296768188477
218,6206573,4.0,11.359895706176758
219,6231573,4.0,11.352399826049805
220,6256573,4.0,11.346099853515625
221,6281573,4.0,11.339698791503906
222,6306573,4.0,11.333298683166504
223,6331573,4.0,11.326898574829102
224,6356573,4.0,11.320497512817383
225,6381573,4.0,11.31409740447998
226,6406573,4.0,11.307796478271484
227,6431573,4.0,11.301396369934082
228,6456573,4.0,11.294995307922363
229,6481573,4.0,11.28749942779541
230,6506573,4.0,11.28119945526123
231,6656573,3.0,11.242796897888184
232,6681573,3.0,11.236495971679688
233,6706573,3.0,11.230095863342285
234,6731573,3.0,11.222599983215332
235,6756573,3.0,11.216198921203613
236,6781573,3.0,11.209898948669434
237,6806573,3.0,11.203497886657715
238,6831573,3.0,11.197097778320312
239,6856573,3.0,11.19069766998291
240,6881573,3.0,11.184296607971191
241,6906573,3.0,11.177896499633789
242,6931573,3.0,11.171595573425293
243,6956573,3.0,11.16409969329834
244,6981573,3.0,11.157699584960938
245,7006573,3.0,11.151299476623535
246,7031573,3.0,11.144998550415039
247,7056573,3.0,11.138598442077637
248,7081573,3.0,11.132197380065918
249,7106573,3.0,11.125797271728516
250,7131573,3.0,11.119397163391113
251,7156573,3.0,11.112996101379395
252,7181573,3.0,11.106696128845215
253,7206573,3.0,11.099200248718262
254,7231573,3.0,11.092799186706543
255,7256573,3.0,11.08639907836914
256,7281573,3.0,11.080098152160645
257,7306573,3.0,11.073698043823242
258,7331573,3.0,11.06729793548584
259,7356573,3.0,11.060896873474121
260,7381573,3.0,11.054496765136719
261,7406573,3.0,11.048095703125
262,7431573,3.0,11.04179573059082
263,7456573,3.0,11.034299850463867
264,7481573,3.0,11.027898788452148
265,7506573,3.0,11.021498680114746
266,7656573,0.0,10.983196258544922
267,7681573,0.0,10.975799560546875
268,7706573,0.0,10.969399452209473
269,7731573,0.0,10.96299934387207
270,7756573,0.0,10.956598281860352
271,7781573,0.0,10.95019817352295
272,7806573,0.0,10.943897247314453
273,7831573,0.0,10.93749713897705
274,7856573,0.0,10.931097030639648
275,7881573,0.0,10.92469596862793
276,7906573,0.0,10.918295860290527
277,7931573,0.0,10.910900115966797
278,7956573,0.0,10.904499053955078
279,7981573,0.0,10.898098945617676
280,8006573,0.0,10.891698837280273
281,8031573,0.0,10.885297775268555
282,8056573,0.0,10.878997802734375
283,8081573,0.0,10.872596740722656
284,8106573,0.0,10.866196632385254
285,8131573,0.0,10.859796524047852
286,8156573,0.0,10.853395462036133
287,8181573,0.0,10.845999717712402
288,8206573,0.0,10.839599609375
289,8231573,0.0,10.833198547363281
290,8256573,0.0,10.826798439025879
291,8281573,0.0,10.82039737701416
292,8306573,0.0,10.81409740447998
293,8331573,0.0,10.807697296142578
294,8356573,0.0,10.80129623413086
295,8381573,0.0,10.794896125793457
296,8406573,0.0,10.787500381469727
297,8431573,0.0,10.781099319458008
298,8456573,0.0,10.774699211120605
299,8481573,0.0,10.768298149108887
300,8506573,0.0,10.761898040771484
301,8656573,3.0,10.722599983215332
302,8681573,3.0,10.716198921203613
303,8706573,3.0,10.709798812866211
304,8731573,3.0,10.703398704528809
305,8756573,3.0,10.69699764251709
306,8781573,3.0,10.690597534179688
307,8806573,3.0,10.684296607971191
308,8831573,3.0,10.677896499633789
309,8856573,3.0,10.671496391296387
310,8881573,3.0,10.665095329284668
311,8906573,3.0,10.657699584960938
312,8931573,3.0,10.651299476623535
313,8956573,3.0,10.644898414611816
314,8981573,3.0,10.638498306274414
315,9006573,3.0,10.632098197937012
316,9031573,3.0,10.625697135925293
317,9056573,3.0,10.61929702758789
318,9081573,3.0,10.612996101379395
319,9106573,3.0,10.606595993041992
320,9131573,3.0,10.599100112915039
321,9156573,3.0,10.59269905090332
322,9181573,3.0,10.58639907836914
323,9206573,3.0,10.579998970031738
324,9231573,3.0,10.57359790802002
325,9256573,3.0,10.567197799682617
326,9281573,3.0,10.560796737670898
327,9306573,3.0,10.554396629333496
328,9331573,3.0,10.548096656799316
329,9356573,3.0,10.541695594787598
330,9381573,3.0,10.534199714660645
331,9406573,3.0,10.527799606323242
332,9431573,3.0,10.521498680114746
333,9456573,3.0,10.515098571777344
334,9481573,3.0,10.508697509765625
335,9506573,3.0,10.502297401428223
336,9656573,4.0,10.462899208068848
337,9681573,4.0,10.456598281860352
338,9706573,4.0,10.45019817352295
339,9731573,4.0,10.443798065185547
340,9756573,4.0,10.437397003173828
341,9781573,4.0,10.430996894836426
342,9806573,4.0,10.424596786499023
343,9831573,4.0,10.418295860290527
344,9856573,4.0,10.410799980163574
345,9881573,4.0,10.404399871826172
346,9906573,4.0,10.397998809814453
347,9931573,4.0,10.391698837280273
348,9956573,4.0,10.385297775268555
349,9981573,4.0,10.378897666931152
350,10006573,4.0,10.37249755859375
351,10031573,4.0,10.366096496582031
352,10056573,4.0,10.359696388244629
353,10081573,4.0,10.35329532623291
354,10106573,4.0,10.34589958190918
355,10131573,4.0,10.339499473571777
356,10156573,4.0,10.333098411560059
357,10181573,4.0,10.326698303222656
358,10206573,4.0,10.320398330688477
359,10231573,4.0,10.313997268676758
360,10256573,4.0,10.307597160339355
361,10281573,4.0,10.301196098327637
362,10306573,4.0,10.294795989990234
363,10331573,4.0,10.288395881652832
364,10356573,4.0,10.280999183654785
365,10381573,4.0,10.274599075317383
366,10406573,4.0,10.26819896697998
367,10431573,4.0,10.261797904968262
368,10456573,4.0,10.255497932434082
369,10481573,4.0,10.249096870422363
370,10506573,4.0,10.242696762084961
371,10656573,0.0,10.203298568725586
372,10681573,0.0,10.196898460388184
373,10706573,0.0,10.190597534179688
374,10731573,0.0,10.184197425842285
375,10756573,0.0,10.177796363830566
376,10781573,0.0,10.171396255493164
377,10806573,0.0,10.164996147155762
378,10831573,0.0,10.157599449157715
379,10856573,0.0,10.151199340820312
380,10881573,0.0,10.14479923248291
381,10906573,0.0,10.138398170471191
382,10931573,0.0,10.131998062133789
383,10956573,0.0,10.125697135925293
384,10981573,0.0,10.11929702758789
385,11006573,0.0,10.112896919250488
386,11031573,0.0,10.10649585723877
387,11056573,0.0,10.100095748901367
388,11081573,0.0,10.092700004577637
389,11106573,0.0,10.086298942565918
390,11131573,0.0,10.079898834228516
391,11156573,0.0,10.073497772216797
392,11181573,0.0,10.067097663879395
393,11206573,0.0,10.060797691345215
394,11231573,0.0,10.054396629333496
395,11256573,0.0,10.047996520996094
396,11281573,0.0,10.041595458984375
397,11306573,0.0,10.034199714660645
398,11331573,0.0,10.027799606323242
399,11356573,0.0,10.021398544311523
400,11381573,0.0,10.014998435974121
401,11406573,0.0,10.008598327636719
402,11431573,0.0,10.002197265625
403,11456573,0.0,9.995797157287598
404,11481573,0.0,9.989496231079102
405,11506573,0.0,9.9830961227417
406,11656573,1.0,9.943697929382324
407,11681573,1.0,9.937297821044922
408,11706573,1.0,9.930896759033203
409,11731573,1.0,9.924596786499023
410,11756573,1.0,9.918195724487305
411,11781573,1.0,9.911795616149902
412,11806573,1.0,9.90429973602295
413,11831573,1.0,9.897998809814453
414,11856573,1.0,9.89159870147705
415,11881573,1.0,9.885198593139648
416,11906573,1.0,9.87879753112793
417,11931573,1.0,9.872397422790527
418,11956573,1.0,9.865996360778809
419,11981573,1.0,9.859696388244629
420,12006573,1.0,9.853296279907227
421,12031573,1.0,9.845799446105957
422,12056573,1.0,9.839399337768555
423,12081573,1.0,9.833099365234375
424,12106573,1.0,9.826698303222656
425,12131573,1.0,9.820298194885254
426,12156573,1.0,9.813897132873535
427,12181573,1.0,9.807497024536133
428,12206573,1.0,9.80109691619873
429,12231573,1.0,9.794795989990234
430,12256573,1.0,9.788395881652832
431,12281573,1.0,9.780900001525879
432,12306573,1.0,9.77449893951416
433,12331573,1.0,9.76819896697998
434,12356573,1.0,9.761797904968262
435,12381573,1.0,9.75539779663086
436,12406573,1.0,9.748997688293457
437,12431573,1.0,9.742596626281738
438,12456573,1.0,9.736196517944336
439,12481573,1.0,9.729796409606934
440,12506573,1.0,9.723495483398438
441,12656573,3.0,9.684097290039062
442,12681573,3.0,9.67769718170166
443,12706573,3.0,9.671296119689941
444,12731573,3.0,9.664896011352539
445,12756573,3.0,9.657500267028809
446,12781573,3.0,9.65109920501709
447,12806573,3.0,9.644699096679688
448,12831573,3.0,9.638298034667969
449,12856573,3.0,9.631998062133789
450,12881573,3.0,9.625597953796387
451,12906573,3.0,9.619196891784668
452,12931573,3.0,9.612796783447266
453,12956573,3.0,9.606395721435547
454,12981573,3.0,9.599995613098145
455,13006573,3.0,9.592599868774414
456,13031573,3.0,9.586198806762695
457,13056573,3.0,9.579798698425293
458,13081573,3.0,9.57339859008789
459,13106573,3.0,9.567097663879395
460,13131573,3.0,9.560697555541992
461,13156573,3.0,9.554296493530273
462,13181573,3.0,9.547896385192871
463,13206573,3.0,9.541496276855469
464,13231573,3.0,9.53509521484375
465,13256573,3.0,9.52769947052002
466,13281573,3.0,9.521299362182617
467,13306573,3.0,9.514898300170898
468,13331573,3.0,9.508498191833496
469,13356573,3.0,9.502197265625
470,13381573,3.0,9.495797157287598
471,13406573,3.0,9.489397048950195
472,13431573,3.0,9.482995986938477
473,13456573,3.0,9.476595878601074
474,13481573,3.0,9.469200134277344
475,13506573,3.0,9.462799072265625
476,13656573,2.0,9.4244966506958
477,13681573,2.0,9.418096542358398
478,13706573,2.0,9.41169548034668
479,13731573,2.0,9.40429973602295
480,13756573,2.0,9.397899627685547
481,13781573,2.0,9.391498565673828
482,13806573,2.0,9.385098457336426
483,13831573,2.0,9.378697395324707
484,13856573,2.0,9.372297286987305
485,13881573,2.0,9.365997314453125
486,13906573,2.0,9.359596252441406
487,13931573,2.0,9.353196144104004
488,13956573,2.0,9.346795082092285
489,13981573,2.0,9.339399337768555
490,14006573,2.0,9.332999229431152
491,14031573,2.0,9.326598167419434
492,14056573,2.0,9.320198059082031
493,14081573,2.0,9.313797950744629
494,14106573,2.0,9.30739688873291
495,14131573,2.0,9.30109691619873
496,14156573,2.0,9.294695854187012
497,14181573,2.0,9.28829574584961
498,14206573,2.0,9.280799865722656
499,14231573,2.0,9.27449893951416
500,14256573,2.0,9.268098831176758
501,14281573,2.0,9.261698722839355
502,14306573,2.0,9.255297660827637
503,14331573,2.0,9.248897552490234
504,14356573,2.0,9.242497444152832
505,14381573,2.0,9.236196517944336
506,14406573,2.0,9.229796409606934
507,14431573,2.0,9.223395347595215
508,14456573,2.0,9.215899467468262
509,14481573,2.0,9.209599494934082
510,14506573,2.0,9.203198432922363
511,14656573,3.0,9.164896011352539
512,14681573,3.0,9.158495903015137
513,14706573,3.0,9.151000022888184
514,14731573,3.0,9.144699096679688
515,14756573,3.0,9.138298988342285
516,14781573,3.0,9.131897926330566
517,14806573,3.0,9.125497817993164
518,14831573,3.0,9.119097709655762
519,14856573,3.0,9.112696647644043
520,14881573,3.0,9.10629653930664
521,14906573,3.0,9.099995613098145
522,14931573,3.0,9.092499732971191
523,14956573,3.0,9.086099624633789
524,14981573,3.0,9.07969856262207
525,15006573,3.0,9.07339859008789
526,15031573,3.0,9.066998481750488
527,15056573,3.0,9.06059741973877
528,15081573,3.0,9.054197311401367
529,15106573,3.0,9.047796249389648
530,15131573,3.0,9.041396141052246
531,15156573,3.0,9.03509521484375
532,15181573,3.0,9.027599334716797
533,15206573,3.0,9.021199226379395
534,15231573,3.0,9.014799118041992
535,15256573,3.0,9.008498191833496
536,15281573,3.0,9.002098083496094
537,15306573,3.0,8.995697021484375
538,15331573,3.0,8.989296913146973
539,15356573,3.0,8.98289680480957
540,15381573,3.0,8.976495742797852
541,15406573,3.0,8.970195770263672
542,15431573,3.0,8.962699890136719
543,15456573,3.0,8.956298828125
544,15481573,3.0,8.949898719787598
545,15506573,3.0,8.943597793579102
546,15656573,3.0,8.904199600219727
547,15681573,3.0,8.897799491882324
548,15706573,3.0,8.891399383544922
549,15731573,3.0,8.884998321533203
550,15756573,3.0,8.878698348999023
551,15781573,3.0,8.872297286987305
552,15806573,3.0,8.865897178649902
553,15831573,3.0,8.8594970703125
554,15856573,3.0,8.853096008300781
555,15881573,3.0,8.846695899963379
556,15906573,3.0,8.839300155639648
557,15931573,3.0,8.83289909362793
558,15956573,3.0,8.826498985290527
559,15981573,3.0,8.820097923278809
560,16006573,3.0,8.813797950744629
561,16031573,3.0,8.807397842407227
562,16056573,3.0,8.800996780395508
563,16081573,3.0,8.794596672058105
564,16106573,3.0,8.788195610046387
565,16131573,3.0,8.781795501708984
566,16156573,3.0,8.774399757385254
567,16181573,3.0,8.767998695373535
568,16206573,3.0,8.761598587036133
569,16231573,3.0,8.75519847869873
570,16256573,3.0,8.748797416687012
571,16281573,3.0,8.742497444152832
572,16306573,3.0,8.736096382141113
573,16331573,3.0,8.729696273803711
574,16356573,3.0,8.723296165466309
575,16381573,3.0,8.715899467468262
576,16406573,3.0,8.70949935913086
577,16431573,3.0,8.703099250793457
578,16456573,3.0,8.696698188781738
579,16481573,3.0,8.690298080444336
580,16506573,3.0,8.683897972106934
581,16656573,0.0,8.644598960876465
582,16681573,0.0,8.638198852539062
583,16706573,0.0,8.63179874420166
584,16731573,0.0,8.625397682189941
585,16756573,0.0,8.618997573852539
586,16781573,0.0,8.612696647644043
587,16806573,0.0,8.60629653930664
588,16831573,0.0,8.599896430969238
589,16856573,0.0,8.59349536895752
590,16881573,0.0,8.586099624633789
591,16906573,0.0,8.579699516296387
592,16931573,0.0,8.573298454284668
593,16956573,0.0,8.566898345947266
594,16981573,0.0,8.560497283935547
595,17006573,0.0,8.554097175598145
596,17031573,0.0,8.547797203063965
597,17056573,0.0,8.541396141052246
598,17081573,0.0,8.534996032714844
599,17106573,0.0,8.52750015258789
600,17131573,0.0,8.521199226379395
601,17156573,0.0,8.514799118041992
602,17181573,0.0,8.508398056030273
603,17206573,0.0,8.501997947692871
604,17231573,0.0,8.495597839355469
605,17256573,0.0,8.48919677734375
606,17281573,0.0,8.482796669006348
607,17306573,0.0,8.476495742797852
608,17331573,0.0,8.47009563446045
609,17356573,0.0,8.462599754333496
610,17381573,0.0,8.456199645996094
611,17406573,0.0,8.449898719787598
612,17431573,0.0,8.443498611450195
613,17456573,0.0,8.437097549438477
614,17481573,0.0,8.430697441101074
615,17506573,0.0,8.424297332763672
616,17656573,4.0,8.384998321533203
617,17681573,4.0,8.3785982131958
618,17706573,4.0,8.372198104858398
619,17731573,4.0,8.36579704284668
620,17756573,4.0,8.359396934509277
621,17781573,4.0,8.352995872497559
622,17806573,4.0,8.346695899963379
623,17831573,4.0,8.339200019836426
624,17856573,4.0,8.332798957824707
625,17881573,4.0,8.326398849487305
626,17906573,4.0,8.320098876953125
627,17931573,4.0,8.313697814941406
628,17956573,4.0,8.307297706604004
629,17981573,4.0,8.300896644592285
630,18006573,4.0,8.294496536254883
631,18031573,4.0,8.28809642791748
632,18056573,4.0,8.281795501708984
633,18081573,4.0,8.274299621582031
634,18106573,4.0,8.267899513244629
635,18131573,4.0,8.26149845123291
636,18156573,4.0,8.25519847869873
637,18181573,4.0,8.248797416687012
638,18206573,4.0,8.24239730834961
639,18231573,4.0,8.235997200012207
640,18256573,4.0,8.229596138000488
641,18281573,4.0,8.223196029663086
642,18306573,4.0,8.215800285339355
643,18331573,4.0,8.209399223327637
644,18356573,4.0,8.202999114990234
645,18381573,4.0,8.196599006652832
646,18406573,4.0,8.190197944641113
647,18431573,4.0,8.183897972106934
648,18456573,4.0,8.177496910095215
649,18481573,4.0,8.171096801757812
650,18506573,4.0,8.16469669342041
651,18656573,0.0,8.125297546386719
652,18681573,0.0,8.118997573852539
653,18706573,0.0,8.112597465515137
654,18731573,0.0,8.106196403503418
655,18756573,0.0,8.099796295166016
656,18781573,0.0,8.093395233154297
657,18806573,0.0,8.085999488830566
658,18831573,0.0,8.079599380493164
659,18856573,0.0,8.073198318481445
660,18881573,0.0,8.066798210144043
661,18906573,0.0,8.06039810180664
662,18931573,0.0,8.054097175598145
663,18956573,0.0,8.047697067260742
664,18981573,0.0,8.041296005249023
665,19006573,0.0,8.034895896911621
666,19031573,0.0,8.02750015258789
667,19056573,0.0,8.021099090576172
668,19081573,0.0,8.01469898223877
669,19106573,0.0,8.008298873901367
670,19131573,0.0,8.001897811889648
671,19156573,0.0,7.995497703552246
672,19181573,0.0,7.989197254180908
673,19206573,0.0,7.982796669006348
674,19231573,0.0,7.976396083831787
675,19256573,0.0,7.969995975494385
676,19281573,0.0,7.962599754333496
677,19306573,0.0,7.9561991691589355
678,19331573,0.0,7.949799060821533
679,19356573,0.0,7.943398475646973
680,19381573,0.0,7.936997890472412
681,19406573,0.0,7.930597305297852
682,19431573,0.0,7.924296855926514
683,19456573,0.0,7.917896747589111
684,19481573,0.0,7.911496162414551
685,19506573,0.0,7.90509557723999
686,19656573,3.0,7.865697383880615
687,19681573,3.0,7.859296798706055
688,19706573,3.0,7.852996349334717
689,19731573,3.0,7.846595764160156
690,19756573,3.0,7.839099884033203
691,19781573,3.0,7.832699298858643
692,19806573,3.0,7.826398849487305
693,19831573,3.0,7.819998741149902
694,19856573,3.0,7.813598155975342
695,19881573,3.0,7.807197570800781
696,19906573,3.0,7.800796985626221
697,19931573,3.0,7.794396877288818
698,19956573,3.0,7.7880964279174805
699,19981573,3.0,7.78169584274292
700,20006573,3.0,7.774199962615967
701,20031573,3.0,7.767799377441406
702,20056573,3.0,7.761498928070068
703,20081573,3.0,7.755098342895508
704,20106573,3.0,7.748697757720947
705,20131573,3.0,7.742297649383545
706,20156573,3.0,7.735897064208984
707,20181573,3.0,7.729496479034424
708,20206573,3.0,7.723196029663086
709,20231573,3.0,7.716795444488525
710,20256573,3.0,7.709299564361572
711,20281573,3.0,7.702898979187012
712,20306573,3.0,7.696598529815674
713,20331573,3.0,7.6901984214782715
714,20356573,3.0,7.683797836303711
715,20381573,3.0,7.67739725112915
716,20406573,3.0,7.67099666595459
717,20431573,3.0,7.6645965576171875
718,20456573,3.0,7.65829610824585
719,20481573,3.0,7.650799751281738
720,20506573,3.0,7.644399642944336
721,20656573,4.0,7.6060967445373535
722,20681573,4.0,7.599696159362793
723,20706573,4.0,7.593295574188232
724,20731573,4.0,7.585899829864502
725,20756573,4.0,7.579499244689941
726,20781573,4.0,7.573098659515381
727,20806573,4.0,7.5666985511779785
728,20831573,4.0,7.560398101806641
729,20856573,4.0,7.55399751663208
730,20881573,4.0,7.5475969314575195
731,20906573,4.0,7.541196346282959
732,20931573,4.0,7.534796237945557
733,20956573,4.0,7.528395652770996
734,20981573,4.0,7.520999431610107
735,21006573,4.0,7.514599323272705
736,21031573,4.0,7.5081987380981445
737,21056573,4.0,7.501798152923584
738,21081573,4.0,7.495497703552246
739,21106573,4.0,7.4890971183776855
740,21131573,4.0,7.482697010040283
741,21156573,4.0,7.476296424865723
742,21181573,4.0,7.469895839691162
743,21206573,4.0,7.462500095367432
744,21231573,4.0,7.456099510192871
745,21256573,4.0,7.4496989250183105
746,21281573,4.0,7.44329833984375
747,21306573,4.0,7.436898231506348
748,21331573,4.0,7.43059778213501
749,21356573,4.0,7.424197196960449
750,21381573,4.0,7.417796611785889
751,21406573,4.0,7.411396026611328
752,21431573,4.0,7.404995918273926
753,21456573,4.0,7.397599697113037
754,21481573,4.0,7.391199111938477
755,21506573,4.0,7.384799003601074
756,21656573,1.0,7.346496105194092
757,21681573,1.0,7.340095520019531
758,21706573,1.0,7.332699775695801
759,21731573,1.0,7.32629919052124
760,21756573,1.0,7.31989860534668
761,21781573,1.0,7.313498020172119
762,21806573,1.0,7.307097911834717
763,21831573,1.0,7.300797462463379
764,21856573,1.0,7.294396877288818
765,21881573,1.0,7.287996292114258
766,21906573,1.0,7.281595706939697
767,21931573,1.0,7.274199962615967
